income,land_size,state,crop,irrigation,farmer_type,scheme,approved
264220,3.86,maharashtra,sugarcane,no,medium,pm_kisan,0
234348,5.39,karnataka,rice,yes,large,drip_irrigation,0
242674,4.3,up,wheat,no,large,small_farmer_support,0
197338,4.62,punjab,wheat,yes,large,crop_insurance,1
103080,1.44,maharashtra,cotton,no,small,sugarcane_incentive,1
250460,3.53,gujarat,wheat,no,medium,pm_kisan,0
314774,5.49,up,rice,no,large,pm_kisan,0
428401,5.77,maharashtra,cotton,yes,large,sugarcane_incentive,0
192238,3.84,maharashtra,sugarcane,no,medium,low_income_farmer_aid,0
172658,4.17,maharashtra,cotton,no,large,crop_insurance,1
362631,5.72,karnataka,rice,yes,large,drip_irrigation,0
135787,2.55,up,rice,no,medium,low_income_farmer_aid,0
182241,2.6,maharashtra,sugarcane,no,medium,drip_irrigation,1
205586,5.8,karnataka,rice,no,large,low_income_farmer_aid,0
140411,3.1,maharashtra,sugarcane,no,medium,drip_irrigation,1
146156,2.19,maharashtra,sugarcane,no,medium,sugarcane_incentive,1
56917,1.74,maharashtra,cotton,no,small,drip_irrigation,0
240859,4.42,maharashtra,sugarcane,no,large,crop_insurance,1
294847,5.82,maharashtra,sugarcane,no,large,crop_insurance,0
73791,1.81,maharashtra,sugarcane,no,small,small_farmer_support,1
204852,5.2,gujarat,cotton,yes,large,rice_development_scheme,1
237722,3.36,karnataka,sugarcane,yes,medium,small_farmer_support,0
85583,1.72,maharashtra,sugarcane,no,small,crop_insurance,0
50799,0.74,punjab,wheat,yes,small,rice_development_scheme,0
141682,2.69,gujarat,wheat,no,medium,pm_kisan,0
284055,4.15,gujarat,wheat,no,large,cotton_support_scheme,0
156482,2.36,maharashtra,sugarcane,yes,medium,medium_farmer_modernization,1
221052,4.37,maharashtra,cotton,no,large,drip_irrigation,0
191604,2.5,up,wheat,yes,medium,medium_farmer_modernization,1
125616,4.06,punjab,wheat,no,large,low_income_farmer_aid,0
211455,3.26,up,wheat,yes,medium,crop_insurance,0
70627,1.17,maharashtra,cotton,no,small,medium_farmer_modernization,0
214977,4.87,gujarat,cotton,yes,large,sugarcane_incentive,1
342667,4.84,gujarat,cotton,no,large,cotton_support_scheme,1
305161,5.29,punjab,rice,yes,large,rice_development_scheme,0
292644,5.31,gujarat,wheat,no,large,cotton_support_scheme,0
295090,5.27,gujarat,cotton,yes,large,drip_irrigation,0
162529,5.25,punjab,rice,no,large,drip_irrigation,0
163976,3.03,up,rice,yes,medium,rice_development_scheme,0
128474,2.86,karnataka,rice,no,medium,large_farmer_irrigation_support,0
271385,5.81,up,wheat,no,large,low_income_farmer_aid,0
107405,2.61,punjab,rice,yes,medium,crop_insurance,0
212572,3.15,punjab,wheat,yes,medium,low_income_farmer_aid,0
396552,5.36,up,rice,yes,large,large_farmer_irrigation_support,0
281361,4.49,gujarat,wheat,no,large,medium_farmer_modernization,0
45430,0.72,punjab,wheat,yes,small,drip_irrigation,0
191771,3.83,maharashtra,cotton,no,medium,large_farmer_irrigation_support,0
135141,3.05,maharashtra,sugarcane,yes,medium,sugarcane_incentive,0
396175,4.77,gujarat,cotton,yes,large,pm_kisan,0
215700,4.02,maharashtra,sugarcane,yes,large,low_income_farmer_aid,0
392605,4.2,punjab,wheat,yes,large,crop_insurance,0
135478,2.2,karnataka,rice,no,medium,rice_development_scheme,0
361488,4.15,up,rice,yes,large,small_farmer_support,0
279081,3.93,gujarat,cotton,no,medium,drip_irrigation,1
326574,4.64,gujarat,wheat,yes,large,rice_development_scheme,0
224154,2.98,punjab,wheat,yes,medium,sugarcane_incentive,0
291374,5.26,gujarat,cotton,yes,large,pm_kisan,0
77372,1.74,gujarat,wheat,no,small,crop_insurance,0
143373,1.7,maharashtra,sugarcane,yes,small,crop_insurance,0
149164,4.33,maharashtra,sugarcane,no,large,small_farmer_support,0
70456,0.74,gujarat,wheat,yes,small,sugarcane_incentive,1
22752,0.62,maharashtra,cotton,yes,small,crop_insurance,1
276017,3.82,gujarat,wheat,no,medium,low_income_farmer_aid,0
163886,4.27,karnataka,rice,yes,large,low_income_farmer_aid,0
243924,3.85,gujarat,wheat,no,medium,large_farmer_irrigation_support,0
102887,1.54,up,wheat,yes,small,sugarcane_incentive,1
51215,1.64,karnataka,sugarcane,no,small,sugarcane_incentive,1
194678,4.54,gujarat,wheat,yes,large,medium_farmer_modernization,0
